,AGREEMENT_RK,ID_CLIENT,TARGET,ID,AGE,GENDER,EDUCATION,MARITAL_STATUS,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,REG_ADDRESS_PROVINCE,FACT_ADDRESS_PROVINCE,POSTAL_ADDRESS_PROVINCE,FL_PRESENCE_FL,OWN_AUTO,FAMILY_INCOME,PERSONAL_INCOME,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED
10,59912659,106804379,0,106804379,43,1,Среднее специальное,Состою в браке,0,0,1,0,Краснодарский край,Краснодарский край,Краснодарский край,1,0,от 10000 до 20000 руб.,7000.0,1,1
11,59912692,106804380,0,106804380,54,1,Среднее специальное,Не состоял в браке,2,0,1,0,Карелия,Карелия,Карелия,1,0,от 20000 до 50000 руб.,19000.0,1,1
12,59913108,106804381,1,106804381,26,0,Среднее специальное,Не состоял в браке,0,0,1,0,Хабаровский край,Хабаровский край,Хабаровский край,0,0,от 10000 до 20000 руб.,18000.0,2,1
13,59913134,106804382,1,106804382,62,0,Среднее,Гражданский брак,3,0,0,1,Калужская область,Калужская область,Калужская область,0,1,от 10000 до 20000 руб.,7000.0,1,1
14,59913205,106804383,0,106804383,45,1,Среднее специальное,Разведен(а),3,1,1,0,Карелия,Карелия,Карелия,0,0,от 10000 до 20000 руб.,12000.0,1,1
15,59913395,106804384,0,106804384,38,1,Высшее,Состою в браке,0,1,1,0,Еврейская АО,Еврейская АО,Еврейская АО,0,0,от 20000 до 50000 руб.,20000.0,2,1
16,59913542,106804385,1,106804385,41,1,Высшее,Разведен(а),0,0,1,0,Хабаровский край,Хабаровский край,Хабаровский край,1,0,свыше 50000 руб.,60000.0,1,1
17,59913603,106804386,0,106804386,65,1,Среднее специальное,Состою в браке,2,0,0,1,Красноярский край,Красноярский край,Красноярский край,1,0,от 20000 до 50000 руб.,10000.0,1,1
18,59913652,106804387,0,106804387,29,1,Среднее специальное,Состою в браке,1,1,1,0,Свердловская область,Свердловская область,Свердловская область,0,0,от 10000 до 20000 руб.,5200.0,1,1
19,59913736,106804388,1,106804388,34,0,Среднее,Гражданский брак,0,0,1,0,Камчатская область,Камчатская область,Камчатская область,0,0,свыше 50000 руб.,35000.0,1,1
20,59913985,106804389,0,106804389,28,1,Высшее,Не состоял в браке,0,0,1,0,Алтайский край,Алтайский край,Алтайский край,0,0,от 10000 до 20000 руб.,15000.0,1,1
21,59914132,106804390,0,106804390,37,1,Высшее,Состою в браке,1,1,1,0,Липецкая область,Липецкая область,Липецкая область,1,0,от 10000 до 20000 руб.,10000.0,1,1
22,59914133,106804391,0,106804391,42,1,Среднее специальное,Состою в браке,1,1,1,0,Белгородская область,Белгородская область,Белгородская область,0,0,от 10000 до 20000 руб.,10000.0,1,1
23,59914282,106804392,0,106804392,45,1,Высшее,Разведен(а),3,2,1,0,Вологодская область,Вологодская область,Вологодская область,0,0,от 10000 до 20000 руб.,14000.0,1,1
24,59914348,106804393,0,106804393,32,1,Среднее специальное,Не состоял в браке,0,0,1,0,Ростовская область,Ростовская область,Ростовская область,0,1,от 10000 до 20000 руб.,10000.0,1,1
25,59914507,106804394,0,106804394,33,1,Среднее специальное,Состою в браке,1,1,1,0,Адыгея,Адыгея,Адыгея,0,0,от 10000 до 20000 руб.,8000.0,1,1
26,59914532,106804395,0,106804395,38,1,Среднее специальное,Не состоял в браке,1,1,1,0,Челябинская область,Челябинская область,Челябинская область,1,0,от 10000 до 20000 руб.,13000.0,1,1
27,59914562,106804396,0,106804396,27,1,Высшее,Состою в браке,0,0,1,0,Мурманская область,Мурманская область,Мурманская область,0,1,от 20000 до 50000 руб.,12500.0,1,1
28,59914760,106804397,1,106804397,31,1,Среднее специальное,Состою в браке,1,1,1,0,Амурская область,Амурская область,Амурская область,0,0,от 20000 до 50000 руб.,12000.0,1,1
29,59914815,106804398,0,106804398,40,0,Среднее специальное,Состою в браке,1,1,1,0,Ленинградская область,Ленинградская область,Ленинградская область,0,0,от 20000 до 50000 руб.,20000.0,1,1
30,59914912,106804399,0,106804399,63,1,Среднее специальное,Состою в браке,0,0,0,1,Тверская область,Тверская область,Тверская область,0,0,от 5000 до 10000 руб.,5000.0,1,1
31,59914934,106804400,0,106804400,40,1,Среднее специальное,Состою в браке,3,2,1,0,Мурманская область,Мурманская область,Мурманская область,0,1,от 20000 до 50000 руб.,11000.0,1,1
32,59914938,106804401,0,106804401,27,0,Высшее,Состою в браке,1,1,1,0,Ленинградская область,Ленинградская область,Ленинградская область,0,0,от 10000 до 20000 руб.,15000.0,1,1
33,59915134,106804402,0,106804402,49,1,Среднее специальное,Не состоял в браке,2,0,1,0,Ростовская область,Ростовская область,Ростовская область,0,0,от 5000 до 10000 руб.,5000.0,1,1
34,59915164,106804403,0,106804403,29,0,Среднее специальное,Не состоял в браке,0,0,1,0,Свердловская область,Свердловская область,Свердловская область,0,1,от 20000 до 50000 руб.,10000.0,1,1
35,59915192,106804404,0,106804404,61,1,Высшее,Состою в браке,0,0,1,0,Тульская область,Тульская область,Тульская область,0,0,от 10000 до 20000 руб.,13000.0,1,1
36,59915193,106804405,0,106804405,43,1,Среднее специальное,Состою в браке,2,2,1,0,Воронежская область,Воронежская область,Воронежская область,0,1,от 20000 до 50000 руб.,30000.0,1,1
37,59915275,106804406,0,106804406,38,0,Высшее,Не состоял в браке,0,0,1,0,Кемеровская область,Кемеровская область,Кемеровская область,1,0,от 20000 до 50000 руб.,23000.0,2,2
38,59915302,106804407,0,106804407,38,0,Среднее специальное,Состою в браке,4,4,1,0,Белгородская область,Белгородская область,Белгородская область,0,1,от 20000 до 50000 руб.,15000.0,1,1
39,59915312,106804408,0,106804408,49,0,Среднее специальное,Состою в браке,2,0,1,0,Башкирия,Башкирия,Башкирия,1,0,от 10000 до 20000 руб.,10000.0,1,1
40,59915340,106804409,0,106804409,44,1,Среднее специальное,Состою в браке,0,0,1,0,Пермская область,Пермская область,Пермская область,0,0,от 10000 до 20000 руб.,13000.0,1,1
41,59915354,106804410,0,106804410,61,1,Среднее специальное,Состою в браке,2,0,0,1,Омская область,Омская область,Омская область,0,0,от 5000 до 10000 руб.,5000.0,1,1
42,59915402,106804411,0,106804411,28,1,Среднее специальное,Состою в браке,1,1,1,0,Саратовская область,Саратовская область,Саратовская область,0,0,от 10000 до 20000 руб.,8000.0,2,2
43,59915484,106804412,0,106804412,31,0,Среднее специальное,Состою в браке,1,1,1,0,Башкирия,Башкирия,Башкирия,1,0,от 20000 до 50000 руб.,20000.0,1,1
44,59915500,106804413,0,106804413,59,1,Среднее специальное,Состою в браке,0,0,0,1,Краснодарский край,Краснодарский край,Краснодарский край,0,0,от 5000 до 10000 руб.,4000.0,1,1
45,59915564,106804414,0,106804414,54,1,Высшее,Состою в браке,2,0,1,0,Мордовская республика,Мордовская республика,Мордовская республика,1,0,от 20000 до 50000 руб.,8000.0,2,1
46,59915634,106804415,0,106804415,48,1,Среднее специальное,Состою в браке,2,0,1,0,Ленинградская область,Ленинградская область,Ленинградская область,1,0,от 10000 до 20000 руб.,13000.0,1,1
47,59915800,106804416,0,106804416,24,0,Высшее,Состою в браке,0,0,1,0,Новосибирская область,Новосибирская область,Новосибирская область,0,0,свыше 50000 руб.,50000.0,1,1
48,59915970,106804417,0,106804417,48,1,Высшее,Вдовец/Вдова,0,0,1,0,Хабаровский край,Хабаровский край,Хабаровский край,1,0,от 20000 до 50000 руб.,15000.0,1,1
49,59916060,106804418,0,106804418,43,1,Неоконченное высшее,Разведен(а),1,1,1,0,Санкт-Петербург,Санкт-Петербург,Санкт-Петербург,0,0,от 20000 до 50000 руб.,20000.0,2,1
50,59916079,106804419,0,106804419,23,0,Среднее специальное,Состою в браке,1,1,1,0,Магаданская область,Магаданская область,Магаданская область,0,1,от 20000 до 50000 руб.,18000.0,1,1
51,59916196,106804420,0,106804420,54,1,Среднее специальное,Не состоял в браке,2,0,1,0,Ханты-Мансийский АО,Ханты-Мансийский АО,Ханты-Мансийский АО,0,0,свыше 50000 руб.,40000.0,1,1
52,59916537,106804421,0,106804421,37,0,Среднее,Состою в браке,1,1,1,0,Челябинская область,Челябинская область,Челябинская область,0,1,от 10000 до 20000 руб.,10000.0,1,1
53,59916782,106804422,0,106804422,47,1,Высшее,Состою в браке,0,0,1,0,Псковская область,Псковская область,Псковская область,1,0,от 20000 до 50000 руб.,20000.0,1,1
54,59917047,106804423,0,106804423,52,1,Высшее,Состою в браке,1,1,0,1,Адыгея,Адыгея,Адыгея,0,0,от 10000 до 20000 руб.,5700.0,2,2
55,59917064,106804424,0,106804424,24,0,Среднее,Состою в браке,0,0,1,0,Тверская область,Тверская область,Тверская область,0,0,от 10000 до 20000 руб.,15000.0,2,2
56,59917071,106804425,0,106804425,48,1,Среднее,Не состоял в браке,0,0,1,0,Липецкая область,Липецкая область,Липецкая область,1,0,от 10000 до 20000 руб.,11000.0,1,1
57,59917104,106804426,0,106804426,58,0,Среднее специальное,Состою в браке,2,0,0,1,Алтайский край,Алтайский край,Алтайский край,0,0,от 10000 до 20000 руб.,9000.0,1,1
58,59917205,106804427,0,106804427,34,1,Высшее,Не состоял в браке,0,0,1,0,Еврейская АО,Еврейская АО,Еврейская АО,0,0,от 20000 до 50000 руб.,9000.0,1,1
59,59917790,106804428,0,106804428,31,1,Среднее специальное,Не состоял в браке,0,0,1,0,Хабаровский край,Хабаровский край,Хабаровский край,1,0,от 20000 до 50000 руб.,12800.0,2,1
60,59917807,106804429,0,106804429,31,0,Среднее специальное,Состою в браке,1,1,1,0,Самарская область,Самарская область,Самарская область,0,0,от 20000 до 50000 руб.,20000.0,1,1
61,59917814,106804430,1,106804430,35,1,Среднее специальное,Не состоял в браке,1,1,1,0,Алтайский край,Алтайский край,Алтайский край,1,0,от 10000 до 20000 руб.,15000.0,1,1
62,59917902,106804431,0,106804431,54,1,Высшее,Состою в браке,2,0,0,1,Свердловская область,Свердловская область,Свердловская область,0,0,от 10000 до 20000 руб.,10000.0,1,1
63,59918129,106804432,0,106804432,35,1,Среднее специальное,Состою в браке,1,1,1,0,Хабаровский край,Хабаровский край,Хабаровский край,0,0,от 20000 до 50000 руб.,15000.0,1,1
64,59918141,106804433,0,106804433,61,1,Среднее специальное,Состою в браке,2,0,0,1,Орловская область,Орловская область,Орловская область,0,0,от 10000 до 20000 руб.,5500.0,1,1
65,59918142,106804434,0,106804434,52,0,Среднее,Состою в браке,0,1,1,0,Новосибирская область,Новосибирская область,Новосибирская область,0,0,от 10000 до 20000 руб.,7000.0,1,1
66,59918152,106804435,1,106804435,34,0,Среднее,Состою в браке,2,2,1,0,Ивановская область,Ивановская область,Ивановская область,0,0,от 10000 до 20000 руб.,6000.0,1,1
67,59918243,106804436,0,106804436,44,0,Неполное среднее,Гражданский брак,3,3,1,0,Читинская область,Читинская область,Читинская область,0,0,от 10000 до 20000 руб.,11000.0,1,1
68,59918315,106804437,0,106804437,63,1,Неполное среднее,Состою в браке,2,0,0,1,Татарстан,Татарстан,Татарстан,0,0,от 5000 до 10000 руб.,4800.0,1,1
69,59918616,106804438,0,106804438,30,0,Среднее специальное,Разведен(а),0,0,1,0,Ханты-Мансийский АО,Ханты-Мансийский АО,Ханты-Мансийский АО,0,0,от 20000 до 50000 руб.,30000.0,1,1
70,59918705,106804439,0,106804439,27,1,Среднее специальное,Не состоял в браке,0,0,1,0,Волгоградская область,Волгоградская область,Волгоградская область,0,0,от 5000 до 10000 руб.,5300.0,1,1
71,59918758,106804440,0,106804440,35,1,Высшее,Не состоял в браке,0,0,1,0,Якутия,Якутия,Якутия,1,0,свыше 50000 руб.,50000.0,1,1
72,59919115,106804441,0,106804441,48,1,Среднее специальное,Состою в браке,2,0,1,0,Вологодская область,Вологодская область,Вологодская область,1,0,от 10000 до 20000 руб.,11000.0,1,1
73,59919115,106804441,0,106804441,48,1,Среднее специальное,Состою в браке,2,0,1,0,Вологодская область,Вологодская область,Вологодская область,1,0,от 10000 до 20000 руб.,11000.0,1,1
74,59919158,106804442,0,106804442,29,1,Среднее специальное,Состою в браке,1,1,1,0,Кировская область,Кировская область,Кировская область,1,0,от 20000 до 50000 руб.,11700.0,1,1
75,59919255,106804443,0,106804443,30,0,Среднее специальное,Состою в браке,1,1,1,0,Саратовская область,Саратовская область,Саратовская область,0,0,от 10000 до 20000 руб.,8000.0,1,1
76,59919426,106804444,0,106804444,31,1,Среднее,Состою в браке,1,1,1,0,Мордовская республика,Мордовская республика,Мордовская республика,1,0,от 10000 до 20000 руб.,5000.0,2,2
77,59919466,106804445,0,106804445,51,1,Среднее специальное,Состою в браке,2,0,1,0,Пермская область,Пермская область,Пермская область,0,0,от 10000 до 20000 руб.,7500.0,1,1
78,59919794,106804446,0,106804446,47,0,Среднее специальное,Состою в браке,2,1,1,0,Пермская область,Пермская область,Пермская область,1,1,от 20000 до 50000 руб.,18000.0,2,2
79,59919854,106804447,0,106804447,26,0,Неоконченное высшее,Не состоял в браке,0,0,1,0,Астраханская область,Астраханская область,Астраханская область,0,0,от 5000 до 10000 руб.,8000.0,1,1
80,59920262,106804448,0,106804448,44,0,Среднее специальное,Состою в браке,2,2,1,0,Коми,Коми,Коми,0,0,от 20000 до 50000 руб.,20000.0,1,1
81,59920457,106804449,1,106804449,33,1,Высшее,Состою в браке,1,1,1,0,Татарстан,Татарстан,Татарстан,0,0,от 10000 до 20000 руб.,10000.0,1,1
82,59920692,106804450,0,106804450,35,1,Высшее,Не состоял в браке,0,0,1,0,Архангельская область,Санкт-Петербург,Санкт-Петербург,0,0,от 10000 до 20000 руб.,9000.0,1,1
83,59920809,106804451,0,106804451,51,1,Среднее специальное,Вдовец/Вдова,1,0,1,0,Тверская область,Тверская область,Тверская область,1,0,от 10000 до 20000 руб.,11000.0,1,1
84,59920871,106804452,0,106804452,43,1,Высшее,Состою в браке,1,1,1,0,Ростовская область,Ростовская область,Ростовская область,0,0,от 20000 до 50000 руб.,15000.0,2,2
85,59920924,106804453,0,106804453,35,0,Среднее специальное,Не состоял в браке,1,1,1,0,Приморский край,Приморский край,Приморский край,0,1,от 10000 до 20000 руб.,15000.0,1,1
86,59921016,106804454,1,106804454,27,1,Среднее специальное,Не состоял в браке,0,0,1,0,Тверская область,Тверская область,Тверская область,0,0,от 10000 до 20000 руб.,10000.0,1,1
87,59921388,106804455,0,106804455,54,1,Среднее специальное,Состою в браке,0,0,1,0,Псковская область,Псковская область,Псковская область,1,0,от 20000 до 50000 руб.,15000.0,1,1
88,59921422,106804456,0,106804456,28,1,Неполное среднее,Состою в браке,1,1,1,0,Кировская область,Кировская область,Кировская область,0,0,от 20000 до 50000 руб.,8000.0,1,1
89,59921596,106804457,0,106804457,53,0,Среднее специальное,Состою в браке,2,0,1,0,Приморский край,Приморский край,Приморский край,0,1,от 20000 до 50000 руб.,25000.0,1,1
90,59921625,106804458,0,106804458,29,1,Среднее специальное,Состою в браке,1,1,1,0,Тульская область,Тульская область,Тульская область,1,0,от 10000 до 20000 руб.,11000.0,1,1
91,59921843,106804459,0,106804459,59,1,Высшее,Разведен(а),1,0,1,0,Тульская область,Тульская область,Тульская область,0,0,от 10000 до 20000 руб.,8500.0,1,1
92,59922010,106804460,0,106804460,56,0,Среднее специальное,Состою в браке,3,0,1,0,Чувашия,Чувашия,Чувашия,0,0,от 10000 до 20000 руб.,4000.0,1,1
93,59922118,106804461,0,106804461,37,1,Среднее,Состою в браке,3,3,1,1,Коми,Коми,Коми,1,0,от 20000 до 50000 руб.,15000.0,2,1
94,59922128,106804462,0,106804462,51,0,Среднее специальное,Состою в браке,1,0,1,0,Ставропольский край,Ставропольский край,Ставропольский край,0,0,от 10000 до 20000 руб.,8000.0,1,1
95,59923054,106804463,0,106804463,63,0,Среднее,Состою в браке,1,0,1,0,Тверская область,Тверская область,Тверская область,0,0,от 10000 до 20000 руб.,10000.0,1,1
96,59923107,106804464,0,106804464,31,0,Высшее,Состою в браке,0,0,1,0,Костромская область,Костромская область,Костромская область,0,0,от 20000 до 50000 руб.,18000.0,1,1
97,59923159,106804465,0,106804465,58,0,Высшее,Состою в браке,3,1,1,0,Курская область,Курская область,Курская область,0,0,от 20000 до 50000 руб.,15000.0,1,1
98,59923161,106804466,0,106804466,48,0,Среднее специальное,Состою в браке,2,0,1,0,Смоленская область,Смоленская область,Смоленская область,0,0,от 10000 до 20000 руб.,12000.0,1,1
99,59923165,106804467,0,106804467,37,1,Среднее специальное,Состою в браке,1,1,1,0,Ростовская область,Ростовская область,Ростовская область,0,0,от 10000 до 20000 руб.,7300.0,1,1
100,59923241,106804468,0,106804468,52,1,Среднее специальное,Не состоял в браке,0,0,1,0,Костромская область,Костромская область,Костромская область,1,0,от 20000 до 50000 руб.,25000.0,1,1
101,59923269,106804469,0,106804469,52,1,Среднее специальное,Не состоял в браке,0,0,1,0,Астраханская область,Астраханская область,Астраханская область,1,0,от 10000 до 20000 руб.,8000.0,1,1
102,59923341,106804470,0,106804470,37,0,Среднее специальное,Разведен(а),0,0,1,0,Астраханская область,Астраханская область,Астраханская область,0,1,от 10000 до 20000 руб.,12000.0,1,1
103,59923386,106804471,0,106804471,22,0,Среднее специальное,Не состоял в браке,1,0,1,0,Саратовская область,Саратовская область,Саратовская область,0,0,от 10000 до 20000 руб.,8000.0,1,1
104,59923424,106804472,0,106804472,36,1,Среднее специальное,Состою в браке,2,2,1,0,Тюменская область,Тюменская область,Тюменская область,0,0,от 20000 до 50000 руб.,10000.0,1,1
105,59923546,106804473,0,106804473,37,0,Среднее,Состою в браке,1,1,1,0,Смоленская область,Смоленская область,Смоленская область,0,0,от 10000 до 20000 руб.,14500.0,1,1
106,59923557,106804474,0,106804474,63,0,Среднее специальное,Состою в браке,2,0,0,1,Чувашия,Чувашия,Чувашия,0,0,от 5000 до 10000 руб.,5000.0,1,1
107,59923612,106804475,0,106804475,26,0,Высшее,Не состоял в браке,0,0,1,0,Хакасия,Хакасия,Хакасия,1,0,от 10000 до 20000 руб.,10000.0,2,1
108,59923663,106804476,1,106804476,57,1,Среднее специальное,Состою в браке,0,0,0,1,Волгоградская область,Волгоградская область,Волгоградская область,0,0,от 10000 до 20000 руб.,3000.0,1,1
109,59923663,106804476,1,106804476,57,1,Среднее специальное,Состою в браке,0,0,0,1,Волгоградская область,Волгоградская область,Волгоградская область,0,0,от 10000 до 20000 руб.,3000.0,1,1
110,59923678,106804477,0,106804477,45,1,Среднее,Не состоял в браке,1,1,1,0,Башкирия,Башкирия,Башкирия,0,0,от 10000 до 20000 руб.,5000.0,1,1
111,59923884,106804478,0,106804478,22,0,Среднее специальное,Состою в браке,1,2,1,0,Кемеровская область,Кемеровская область,Кемеровская область,0,0,от 10000 до 20000 руб.,12000.0,1,1
112,59924026,106804479,0,106804479,57,0,Среднее,Не состоял в браке,0,0,1,1,Якутия,Якутия,Якутия,0,1,от 20000 до 50000 руб.,30000.0,1,1
113,59924048,106804480,0,106804480,57,0,Среднее специальное,Состою в браке,0,0,0,1,Брянская область,Брянская область,Брянская область,0,0,от 10000 до 20000 руб.,6000.0,1,1
114,59924146,106804481,0,106804481,39,0,Высшее,Состою в браке,2,2,1,0,Красноярский край,Красноярский край,Красноярский край,0,0,от 20000 до 50000 руб.,27000.0,1,1
115,59924239,106804482,0,106804482,37,1,Среднее специальное,Состою в браке,2,2,1,0,Калужская область,Калужская область,Калужская область,0,0,от 20000 до 50000 руб.,9000.0,1,1
116,59924607,106804483,0,106804483,41,0,Среднее специальное,Не состоял в браке,0,0,1,0,Санкт-Петербург,Санкт-Петербург,Санкт-Петербург,0,1,от 10000 до 20000 руб.,18000.0,1,1
117,59925055,106804484,0,106804484,34,0,Среднее специальное,Состою в браке,2,2,1,0,Тверская область,Тверская область,Тверская область,0,0,от 10000 до 20000 руб.,6000.0,2,2
118,59925110,106804485,0,106804485,44,0,Среднее специальное,Состою в браке,1,0,1,0,Краснодарский край,Краснодарский край,Краснодарский край,0,1,от 20000 до 50000 руб.,15000.0,1,1
119,59925185,106804486,0,106804486,38,0,Среднее специальное,Состою в браке,1,1,1,0,Омская область,Омская область,Омская область,1,0,от 20000 до 50000 руб.,13500.0,1,1
120,59925195,106804487,0,106804487,40,1,Высшее,Состою в браке,1,1,1,0,Алтайский край,Алтайский край,Алтайский край,0,0,от 10000 до 20000 руб.,6500.0,1,1
121,59925200,106804488,0,106804488,40,0,Среднее специальное,Состою в браке,2,2,1,0,Татарстан,Татарстан,Татарстан,1,1,от 20000 до 50000 руб.,14000.0,1,1
122,59925263,106804489,0,106804489,27,1,Неоконченное высшее,Состою в браке,1,1,1,0,Оренбургская область,Оренбургская область,Оренбургская область,0,1,от 20000 до 50000 руб.,15000.0,1,1
123,59925320,106804490,0,106804490,29,0,Высшее,Состою в браке,1,1,1,0,Приморский край,Приморский край,Приморский край,0,0,от 20000 до 50000 руб.,20000.0,1,1
124,59925344,106804491,0,106804491,28,1,Высшее,Состою в браке,1,1,1,0,Архангельская область,Архангельская область,Архангельская область,0,0,от 20000 до 50000 руб.,10000.0,1,1
125,59925421,106804492,0,106804492,41,1,Среднее специальное,Не состоял в браке,2,1,1,0,Новосибирская область,Новосибирская область,Новосибирская область,1,0,от 10000 до 20000 руб.,8600.0,1,1
126,59925539,106804493,0,106804493,39,1,Среднее специальное,Состою в браке,1,1,1,0,Амурская область,Амурская область,Амурская область,0,0,от 20000 до 50000 руб.,35000.0,1,1
127,59925799,106804494,0,106804494,43,0,Среднее,Состою в браке,0,0,1,0,Санкт-Петербург,Санкт-Петербург,Санкт-Петербург,0,1,от 20000 до 50000 руб.,15000.0,1,1
128,59925843,106804495,0,106804495,57,1,Среднее специальное,Вдовец/Вдова,0,0,0,1,Карелия,Карелия,Карелия,1,0,от 5000 до 10000 руб.,8000.0,2,2
129,59925872,106804496,0,106804496,50,1,Высшее,Состою в браке,0,0,1,0,Омская область,Омская область,Омская область,0,0,от 20000 до 50000 руб.,15000.0,1,1
130,59925882,106804497,0,106804497,38,0,Среднее,Состою в браке,4,4,1,0,Ленинградская область,Ленинградская область,Ленинградская область,1,1,от 20000 до 50000 руб.,38000.0,3,2
131,59925955,106804498,0,106804498,51,1,Среднее специальное,Разведен(а),0,0,1,0,Орловская область,Московская область,Московская область,1,0,от 20000 до 50000 руб.,25000.0,1,1
132,59926091,106804499,1,106804499,54,1,Среднее специальное,Не состоял в браке,1,1,1,0,Хабаровский край,Хабаровский край,Хабаровский край,1,0,от 20000 до 50000 руб.,11000.0,1,1
133,59926221,106804500,0,106804500,35,1,Высшее,Состою в браке,1,1,1,0,Кировская область,Кировская область,Кировская область,0,0,от 20000 до 50000 руб.,15000.0,1,1
134,59926263,106804501,0,106804501,27,1,Высшее,Состою в браке,2,2,1,0,Приморский край,Приморский край,Приморский край,0,0,от 20000 до 50000 руб.,10000.0,1,1
135,59926295,106804502,0,106804502,48,1,Неполное среднее,Состою в браке,2,0,1,0,Пензенская область,Пензенская область,Пензенская область,1,0,от 10000 до 20000 руб.,6000.0,1,1
136,59926408,106804503,0,106804503,50,1,Среднее специальное,Состою в браке,0,0,1,0,Амурская область,Амурская область,Амурская область,0,0,от 20000 до 50000 руб.,12000.0,1,1
137,59926549,106804504,0,106804504,41,1,Среднее специальное,Состою в браке,2,2,1,0,Костромская область,Костромская область,Костромская область,0,0,от 5000 до 10000 руб.,5000.0,1,1
138,59926704,106804505,0,106804505,42,1,Неоконченное высшее,Состою в браке,1,1,1,0,Тамбовская область,Тамбовская область,Тамбовская область,1,0,от 10000 до 20000 руб.,10000.0,2,2
139,59926732,106804506,0,106804506,29,0,Среднее специальное,Состою в браке,1,1,1,0,Ставропольский край,Ставропольский край,Ставропольский край,0,0,от 10000 до 20000 руб.,6200.0,1,1
140,59926912,106804507,0,106804507,27,0,Среднее специальное,Не состоял в браке,0,0,1,0,Курганская область,Курганская область,Курганская область,0,0,от 20000 до 50000 руб.,10000.0,1,1
141,59926936,106804508,0,106804508,40,0,Высшее,Состою в браке,2,2,1,0,Архангельская область,Архангельская область,Архангельская область,1,0,от 20000 до 50000 руб.,20000.0,1,1
142,59927010,106804509,0,106804509,29,1,Среднее специальное,Не состоял в браке,0,0,1,0,Кемеровская область,Кемеровская область,Кемеровская область,0,0,от 10000 до 20000 руб.,15000.0,1,1
143,59927078,106804510,0,106804510,53,1,Среднее,Разведен(а),0,0,1,0,Татарстан,Татарстан,Татарстан,0,0,от 5000 до 10000 руб.,6000.0,1,1
144,59927260,106804511,0,106804511,46,0,Высшее,Состою в браке,1,0,1,0,Ярославская область,Ярославская область,Ярославская область,0,0,от 10000 до 20000 руб.,8000.0,1,1
145,59927432,106804512,0,106804512,57,1,Среднее специальное,Вдовец/Вдова,2,0,0,1,Ростовская область,Ростовская область,Ростовская область,0,0,от 10000 до 20000 руб.,7000.0,1,1
146,59927451,106804513,0,106804513,32,1,Среднее специальное,Не состоял в браке,1,1,1,0,Владимирская область,Владимирская область,Владимирская область,0,0,от 10000 до 20000 руб.,10500.0,1,1
147,59927525,106804514,0,106804514,56,1,Среднее специальное,Состою в браке,0,0,1,0,Хабаровский край,Хабаровский край,Хабаровский край,1,0,от 20000 до 50000 руб.,170000.0,1,1
148,59927554,106804515,0,106804515,51,1,Среднее специальное,Состою в браке,0,0,1,1,Волгоградская область,Волгоградская область,Волгоградская область,0,0,от 10000 до 20000 руб.,15000.0,1,1
